fsa,zone_type
L0A,residential
L0B,residential
L0C,residential
L0E,residential
L0G,residential
L0H,residential
L0J,residential
L0K,residential
L0L,residential
L0M,residential
L0N,residential
L0P,residential
L0R,retail_hub
L0S,residential
L1A,residential
L1B,residential
L1C,residential
L1E,residential
L1G,residential
L1H,residential
L1J,retail_hub
L1K,residential
L1L,residential
L1M,residential
L1N,residential
L1P,residential
L1R,residential
L1S,residential
L1T,residential
L1V,residential
L1W,residential
L1X,residential
L1Y,residential
L1Z,residential
L2A,residential
L2E,residential
L2G,residential
L2H,residential
L2J,residential
L2M,residential
L2N,residential
L2P,residential
L2R,residential
L2S,residential
L2T,residential
L2V,residential
L2W,residential
L3B,residential
L3C,residential
L3K,residential
L3L,residential
L3M,residential
L3P,residential
L3R,residential
L3S,residential
L3T,residential
L3V,residential
L3X,residential
L3Y,residential
L3Z,residential
L4A,residential
L4B,residential
L4C,leisure
L4E,leisure
L4G,residential
L4H,residential
L4J,residential
L4K,residential
L4L,residential
L4M,residential
L4N,residential
L4P,residential
L4R,residential
L4S,residential
L4T,residential
L4V,residential
L4W,residential
L4X,residential
L4Y,residential
L4Z,residential
L5A,office_park
L5B,residential
L5C,residential
L5E,residential
L5G,residential
L5H,residential
L5J,residential
L5K,residential
L5L,residential
L5M,residential
L5N,leisure
L5R,residential
L5S,leisure
L5T,residential
L5V,retail_hub
L5W,residential
L6A,residential
L6B,residential
L6C,retail_hub
L6E,retail_hub
L6G,residential
L6H,residential
L6J,residential
L6K,residential
L6L,residential
L6M,leisure
L6P,residential
L6R,residential
L6S,retail_hub
L6T,residential
L6V,residential
L6W,retail_hub
L6X,residential
L6Y,residential
L6Z,office_park
L7A,residential
L7B,residential
L7C,residential
L7E,residential
L7G,residential
L7J,residential
L7K,residential
L7L,residential
L7M,residential
L7N,residential
L7P,residential
L7R,residential
L7S,residential
L7T,residential
L8B,residential
L8E,residential
L8G,residential
L8H,residential
L8J,residential
L8K,residential
L8L,residential
L8M,residential
L8N,residential
L8P,residential
L8R,residential
L8S,residential
L8T,residential
L8V,residential
L8W,residential
L9A,retail_hub
L9B,residential
L9C,residential
L9E,residential
L9G,residential
L9H,residential
L9J,residential
L9K,residential
L9L,residential
L9M,residential
L9N,residential
L9P,residential
L9R,residential
L9S,residential
L9T,residential
L9V,residential
L9W,residential
L9X,residential
L9Y,residential
L9Z,leisure
M1B,leisure
M1C,residential
M1E,residential
M1G,residential
M1H,residential
M1J,retail_hub
M1K,residential
M1L,residential
M1M,residential
M1N,residential
M1P,retail_hub
M1R,residential
M1S,office_park
M1T,residential
M1V,residential
M1W,residential
M1X,residential
M2H,residential
M2J,residential
M2K,leisure
M2L,residential
M2M,residential
M2N,retail_hub
M2P,residential
M2R,leisure
M3A,residential
M3B,residential
M3C,residential
M3H,residential
M3J,residential
M3K,transit_hub
M3L,retail_hub
M3M,residential
M3N,retail_hub
M4A,residential
M4B,residential
M4C,residential
M4E,residential
M4G,retail_hub
M4H,leisure
M4J,residential
M4K,residential
M4L,residential
M4M,residential
M4N,residential
M4P,residential
M4R,residential
M4S,residential
M4T,residential
M4V,residential
M4W,leisure
M4X,residential
M4Y,leisure
M5A,residential
M5B,office_park
M5C,office_park
M5E,residential
M5G,residential
M5H,retail_hub
M5J,office_park
M5M,residential
M5N,residential
M5P,residential
M5R,residential
M5S,office_park
M5T,retail_hub
M5V,leisure
M6A,residential
M6B,residential
M6C,leisure
M6E,office_park
M6G,retail_hub
M6H,office_park
M6J,residential
M6K,residential
M6L,retail_hub
M6M,leisure
M6N,residential
M6P,residential
M6R,retail_hub
M6S,residential
M8V,residential
M8W,residential
M8X,residential
M8Y,residential
M8Z,residential
M9A,residential
M9B,residential
M9C,residential
M9L,residential
M9M,residential
M9N,residential
M9P,leisure
M9R,residential
M9V,residential
M9W,residential
